Actor2Code	Actor2Name	Actor2CountryCode	Actor2KnownGroupCode	Actor2EthnicCode	Actor2Religion1Code	Actor2Religion2Code	Actor2Type1Code	Actor2Type2Code	Actor2Type3Code
MIL	NAVY						MIL		
MIL	NAVY						MIL		
MNCUSA	NETFLIX	USA					MNC		
MNCUSAHLH	PFIZER	USA					MNC	HLH	
NMR	NORTH AMERICA	NMR							
POL	POLE	POL							
POL	POLE	POL							
PRT	PORTUGAL	PRT							
RUS	RUSSIAN	RUS							
SDN	SUDANESE	SDN							
TTO	TRINIDAD AND TOBAGO	TTO							
TTO	TRINIDAD AND TOBAGO	TTO							
TTO	TRINIDAD AND TOBAGO	TTO							
TWN	TAIWAN	TWN							
UAF	FIGHTER						UAF		
UAF	MILITIA						UAF		
USA	MILWAUKEE	USA							
USA	TEXAS	USA							
USA	LOS ANGELES	USA							
USA	UNITED STATES	USA							
USA	LOS ANGELES	USA							
									
									
MAR	MOROCCO	MAR							
USA	AMERICAN	USA							
									
									
									
									
									
									
AUSCVL	AUSTRALIA	AUS					CVL		
AUSGOV	AUSTRALIA	AUS					GOV		
CHN	CHINA	CHN							
FRAMED	AGENCE FRANCE PRESS	FRA					MED		
CHN	CHINA	CHN							
									
AUS	AUSTRALIA	AUS							
									
									
BUS	INDUSTRY						BUS		
BUS	INDUSTRY						BUS		
MED	MEDIA						MED		
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
BEL	BELGIUM	BEL							
BEL	BELGIUM	BEL							
CHN	CHINESE	CHN							
CHNBUS	CHINA	CHN					BUS		
GBR	UNITED KINGDOM	GBR							
MIL	ARMY						MIL		
MIL	ARMY						MIL		
MYS	MALAYSIA	MYS							
USA	THE US	USA							
									
									
EDU	STUDENT						EDU		
									
GOV	CHIEF EXECUTIVE						GOV		
AUS	AUSTRALIA	AUS							
AUS	AUSTRALIA	AUS							
AUSCOP	AUSTRALIA	AUS					COP		
COP	DEPUTIES						COP		
RUS	RUSSIA	RUS							
RUS	RUSSIA	RUS							
TWN	TAIWAN	TWN							
USA	UNITED STATES	USA							
REB	REBEL						REB		
REB	REBEL						REB		
RWA	RWANDAN	RWA							
RWA	RWANDAN	RWA							
RWAMIL	RWANDAN	RWA					MIL		
UAF	MILITIA						UAF		
									
									
									
									
									
									
									
									
									
									
									
									
									
BRA	BRAZIL	BRA							
BRAUAF	BRAZIL	BRA					UAF		
BRAUAF	BRAZIL	BRA					UAF		
BUS	BUSINESS						BUS		
CHN	CHINA	CHN							
EDU	SCHOOL						EDU		
EDU	SCHOOL						EDU		
GOV	GOVERNMENT						GOV		
ITA	ITALY	ITA							
LAB	EMPLOYEE						LAB		
OPP	DETAINEE						OPP		
REF	REFUGEE						REF		
UAF	FIGHTER						UAF		
UAF	FIGHTER						UAF		
USA	RICHMOND	USA							
									
									
									
									
									
									
									
GOV	PRESIDENT						GOV		
GOV	PRESIDENT						GOV		
MIL	ARMY						MIL		
MIL	ARMY						MIL		
RUS	RUSSIAN	RUS							
UAF	ARMED GROUP						UAF		
USA	UNITED STATES	USA							
USA	UNITED STATES	USA							
USA	UNITED STATES	USA							
USA	UNITED STATES	USA							
									
									
									
AGR	FARMER						AGR		
DEUCOP	GERMAN	DEU					COP		
HLH	PHYSICIAN						HLH		
OPP	ACTIVIST						OPP		
DEU	GERMAN	DEU							
DNKCVL	DENMARK	DNK					CVL		
									
									
									
									
									
									
									
AUSCVL	AUSTRALIAN	AUS					CVL		
CANEDU	BRITISH COLUMBIA	CAN					EDU		
COP	POLICE						COP		
DEU	GERMANY	DEU							
GBREDU	UNITED KINGDOM	GBR					EDU		
MED	EDITOR IN CHIEF						MED		
DEU	GERMANY	DEU							
HLH	HOSPITAL						HLH		
									
									
MEX	MEXICO	MEX							
USA	UNITED STATES	USA							
USA	UNITED STATES	USA							
BUS	EMPLOYER						BUS		
BUS	EMPLOYER						BUS		
JUD	PROSECUTOR						JUD		
									
									
									
									
AUS	AUSTRALIAN	AUS							
AUS	AUSTRALIAN	AUS							
JUD	COUNSEL						JUD		
LCA	ST LUCIA	LCA							
LCA	ST LUCIA	LCA							
LCA	ST LUCIA	LCA							
MNCKOR	SAMSUNG	KOR					MNC		
USA	UNITED STATES	USA							
USA	UNITED STATES	USA							
USA	UNITED STATES	USA							
EDU	STUDENT						EDU		
AUS	AUSTRALIA	AUS							
AUS	AUSTRALIAN	AUS							
									
									
									
									
									
									
									
									
									
									
									
BGD	BANGLADESH	BGD							
BUS	BUSINESS						BUS		
BUS	COMPANIES						BUS		
CHE	SWITZERLAND	CHE							
COP	POLICE						COP		
COP	DEPUTY						COP		
COP	POLICE						COP		
CVL	COMMUNITY						CVL		
EDU	UNIVERSITY						EDU		
IRL	IRELAND	IRL							
IRL	IRELAND	IRL							
JUD	APPEALS COURT						JUD		
USA	UNITED STATES	USA							
USA	TEXAS	USA							
USA	THE US	USA							
USAMED	REUTERS	USA					MED		
UAF	MILITIA						UAF		
EDU	SCHOOL						EDU		
EDU	SCHOOL						EDU		
									
MIL	WARSHIP						MIL		
ITA	ROMA	ITA							
									
CHRPRO210	LUTHERAN				CHR	PRO			
									
									
									
									
									
									
									
									
									
									
									
MEX	MEXICO	MEX							
									
NGOBUSWEF	WORLD ECONOMIC FORUM		WEF				NGO	BUS	
NGOENV	WORLD WILDLIFE FUND						NGO	ENV	
CVL	VILLAGER						CVL		
GOV	GOVERNMENT						GOV		
SDNMIL	SUDAN	SDN					MIL		
IGOASADEVADB	ASIAN DEVELOPMENT BANK	ASA	ADB				IGO	DEV	
KEN	KENYA	KEN							
									
									
									
GOV	GOVERNMENT						GOV		
GOV	GOVERNMENT						GOV		
KEN	KENYA	KEN							
USA	PORTLAND	USA							
USA	PORTLAND	USA							
									
JPNCVL	JAPANESE	JPN					CVL		
JPNCVL	JAPAN	JPN					CVL		
JPNCVL	JAPAN	JPN					CVL		
									
JPN	JAPANESE	JPN							
									
									
									
									
									
CRM	CRIMINAL						CRM		
CVL	COMMUNITY						CVL		
FRA	AVIGNON	FRA							
GOV	GOVERNMENT						GOV		
GOV	JUSTICE MINISTER						GOV		
USA	UNITED STATES	USA							
USAGOVEDU	JOE BIDEN	USA					GOV	EDU	
USAJUD	UNITED STATES	USA					JUD		
									
									
									
ITA	ROME	ITA							
									
									
BUS	EMPLOYER						BUS		
GOV	AUTHORITIES						GOV		
GOV	AUTHORITIES						GOV		
GBR	BRITISH	GBR							
									
									
									
ARG	ARGENTINA	ARG							
BUS	CEOS						BUS		
EDU	UNIVERSITY						EDU		
ESP	CORDOBA	ESP							
NGOHRIHRW	HUMAN RIGHTS WATCH		HRW				NGO	HRI	
NGOHRIHRW	HUMAN RIGHTS WATCH		HRW				NGO	HRI	
USA	UNITED STATES	USA							
									
									
OPP	DETAINEE						OPP		
									
									
									
									
									
									
CVL	RESIDENTS						CVL		
MEDBUS	MEDIA						MED	BUS	
OPP	ACTIVIST						OPP		
SPY	INTELLIGENCE						SPY		
SPY	INTELLIGENCE						SPY		
USA	AMERICAN	USA							
USA	ORLANDO	USA							
									
HLH	HOSPITAL						HLH		
									
									
									
									
									
CVL	COMMUNITY						CVL		
MNCUSA	TEXTRON	USA					MNC		
REB	INSURGENT						REB		
AUS	AUSTRALIAN	AUS							
									
GBR	UNITED KINGDOM	GBR							
									
									
									
MIL	ARMY						MIL		
									
BUS	COMPANY						BUS		
GOV	REGULATOR						GOV		
									
									
									
UKR	UKRAINE	UKR							
IGOEUREEC	EUROPEAN COMMISSION	EUR	EEC				IGO		
NGOENV	WORLD WILDLIFE FUND						NGO	ENV	
IGOEUREEC	EUROPEAN COMMISSION	EUR	EEC				IGO		
NGOBUSWEF	WORLD ECONOMIC FORUM		WEF				NGO	BUS	
IGOEUREEC	THE EUROPEAN UNION	EUR	EEC				IGO		
IGOEUREEC	THE EUROPEAN UNION	EUR	EEC				IGO		
IGOEUREEC	THE EUROPEAN UNION	EUR	EEC				IGO		
									
									
MED	TELEVISION						MED		
MED	MEDIA						MED		
									
									
CVL	CIVILIAN						CVL		
									
CRM	CRIMINAL						CRM		
USAMED	REUTERS	USA					MED		
MED	MEDIA						MED		
									
									
CHN	CHINA	CHN							
TWNELI	TAIWAN	TWN					ELI		
TWN	TAIWAN	TWN							
									
									
USA	UNITED STATES	USA							
MIL	MILITARY BASE						MIL		
RUS	RUSSIA	RUS							
RUS	RUSSIA	RUS							
									
									
									
									
									
									
									
									
									
									
									
									
									
									
AUS	AUSTRALIA	AUS							
AUS	AUSTRALIA	AUS							
COP	PRISON						COP		
CVL	HUNTER						CVL		
CVL	POPULATION						CVL		
CVL	HUNTER						CVL		
CVL	HUNTER						CVL		
ESP	SPAIN	ESP							
ESP	SPAIN	ESP							
GOV	MINISTRY						GOV		
JOR	JORDAN	JOR							
MED	MEDIA						MED		
UGA	UGANDAN	UGA							
USAGOV	BARACK OBAMA	USA					GOV		
USAMED	UNITED STATES	USA					MED		
USAMED	UNITED STATES	USA					MED		
USAMED	UNITED STATES	USA					MED		
USA	LOS ANGELES	USA							
									
									
									
									
CHN	CHINA	CHN							
USA	UNITED STATES	USA							
GOV	GOVERNMENT						GOV		
JUD	FEDERAL COURT						JUD		
VENBUS	VENEZUELA	VEN					BUS		
									
									
VNM	VIETNAM	VNM							
MIL	JOINT CHIEFS OF STAFF						MIL		
MNCJPN	TOYOTA	JPN					MNC		
EUR	EUROPEAN	EUR							
									
									
GBR	BRITISH	GBR							
CVL	CIVILIAN						CVL		
CVL	CIVILIAN						CVL		
COD	THE DRC	COD							
JUD	ADVOCATE						JUD		
GOV	PRINCE						GOV		
USA	UNITED STATES	USA							
NZL	AUCKLAND	NZL							
COP	POLICE						COP		
AUS	VICTORIA	AUS							
AUS	VICTORIA	AUS							
AUS	VICTORIA	AUS							
BRB	BARBADOS	BRB							
BUS	BUSINESS						BUS		
BUS	BUSINESS						BUS		
COP	POLICE						COP		
CUB	CUBA	CUB							
CVL	COMMUNITY						CVL		
EDU	ACADEMICS						EDU		
EDU	STUDENT						EDU		
EUR	EUROPE	EUR							
GBR	UNITED KINGDOM	GBR							
GBR	UNITED KINGDOM	GBR							
GOV	ADMINISTRATION						GOV		
GOV	PRESIDENT						GOV		
GOV	PRESIDENT						GOV		
GOV	PROVINCIAL OFFICIALS						GOV		
GOV	FIREFIGHTER						GOV		
GOVMIL	DEPARTMENT OF DEFENSE						GOV	MIL	
HLH	HOSPITAL						HLH		
JUD	COUNSEL						JUD		
JUD	ATTORNEY						JUD		
KAZ	KAZAKHSTAN	KAZ							
MED	JOURNALIST						MED		
NGOUSA	CARNEGIE ENDOWMENT FOR INTERNATIONAL PEACE	USA					NGO		
NMR	NORTH AMERICA	NMR							
PAK	PAKISTAN	PAK							
PTY	POLITICAL PARTY								
REL	PRIEST								
REL	CLERIC								
SAUGOV	ABDULLAH	SAU					GOV		
SYR	SYRIA	SYR							
TUR	TURKEY	TUR							
UKR	UKRAINE	UKR							
USA	UNITED STATES	USA							
USA	UNITED STATES	USA							
USA	JERSEY	USA							
USA	UNITED STATES	USA							
VEN	VENEZUELA	VEN							
idg	INDIGENOUS			idg					
									
UKR	UKRAINE	UKR							
ARE	ABU DHABI	ARE							
									
									
									
CAN	CANADA	CAN							
CAN	CANADA	CAN							
									
GOV	PRESIDENT						GOV		
									
									
									
									
									
									
									
									
									
CVL	RESIDENTS						CVL		
EDU	SCHOOL						EDU		
EUR	EUROPEAN	EUR							
GOV	REGULATOR						GOV		
IGOEUREEC	EUROPEAN COMMISSION	EUR	EEC				IGO		
USA	UNITED STATES	USA							
									
CANCVL	CANADIAN	CAN					CVL		
CVL	CITIZEN						CVL		
CVL	CITIZEN						CVL		
CAN	CANADA	CAN							
IRN	IRAN	IRN							
IRN	IRAN	IRN							
									
									
GOV	PRESIDENT						GOV		
									
									
EDU	SCHOOL						EDU		
PAK	PAKISTAN	PAK							
VCT	ST VINCENT	VCT							
									
GOV	GOVERNMENT						GOV		
									
									
									
									
MCO	MONACO	MCO							
MED	GAZETTE						MED		
NZLJUD	AUCKLAND	NZL					JUD		
NZLJUD	AUCKLAND	NZL					JUD		
USA	LAWRENCE	USA							
									
									
									
FRA	PARIS	FRA							
									
									
									
									
									
									
									
									
									
									
BUS	BUSINESS						BUS		
MIL	MILITARY						MIL		
USA	MEMPHIS	USA							
USA	JERSEY	USA							
USA	HAWAII	USA							
GOV	MINIST						GOV		
EDU	STUDENT						EDU		
EDU	STUDENT						EDU		
NLD	THE NETHERLAND	NLD							
NLD	THE NETHERLAND	NLD							
									
									
									
BUS	BUSINESS						BUS		
CHN	CHINA	CHN							
CVL	COMMUNITY						CVL		
DEUEDU	GERMANY	DEU					EDU		
EDUGOVEDU	SCHOOL						EDU	GOV	EDU
									
EDU	LECTURER						EDU		
HLH	NURSE						HLH		
NLD	THE NETHERLAND	NLD							
NLD	THE NETHERLAND	NLD							
									
									
									
									
BUS	COMPANY						BUS		
IGOWSTNAT	NATO	WST	NAT				IGO		
IGOWSTNAT	NATO	WST	NAT				IGO		
TUR	ANKARA	TUR							
TUR	ANKARA	TUR							
									
FIN	FINNISH	FIN							
IGOWSTNAT	NATO	WST	NAT				IGO		
IGOWSTNAT	NATO	WST	NAT				IGO		
GOV	AUTHORITIES						GOV		
USA	UNITED STATES	USA							
									
									
MNCJPN	TOYOTA	JPN					MNC		
USA	THE US	USA							
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
BRB	BARBADOS	BRB							
BRB	BARBADOS	BRB							
BUS	COMPANY						BUS		
BUS	BUSINESS						BUS		
CODGOVBUS	DEMOCRATIC REPUBLIC OF THE CONGO	COD					GOV	BUS	
COP	DEPUTIES						COP		
GBR	UNITED KINGDOM	GBR							
GOVBUS	INDUSTRY MINIST						GOV	BUS	
GOVMIL	NATIONAL SECURITY ADVISER						GOV	MIL	
IND	NEW DELHI	IND							
JPN	JAPANESE	JPN							
MED	MEDIA						MED		
MNCJPN	TOYOTA	JPN					MNC		
NZL	NEW ZEALAND	NZL							
PSE	PALESTINIAN	PSE							
REB	REBEL GROUP						REB		
USA	UNITED STATES	USA							
ZAF	NORTHERN CAPE	ZAF							
GOV	GOVERNMENT						GOV		
MIL	ARMED FORCES						MIL		
									
									
									
FIN	FINNISH	FIN							
FIN	FINLAND	FIN							
FINGOVMIL	FINNISH	FIN					GOV	MIL	
GOV	ADMINISTRATION						GOV		
NLD	THE NETHERLAND	NLD							
NLD	THE NETHERLAND	NLD							
									
									
									
BUS	INDUSTRY						BUS		
COP	SECURITY FORCE						COP		
GOV	PRIME MINISTER						GOV		
									
									
INDGOVBUS	FAROOQ ABDULLAH	IND					GOV	BUS	
INDGOV	OMAR ABDULLAH	IND					GOV		
NLD	THE NETHERLAND	NLD							
NLD	THE NETHERLAND	NLD							
GBR	UNITED KINGDOM	GBR							
GBR	UNITED KINGDOM	GBR							
									
									
									
									
									
									
									
									
									
									
									
CRM	CRIMINAL						CRM		
BUS	ENTREPRENEUR						BUS		
HLH	DOCTOR						HLH		
									
									
									
									
									
									
BUS	INDUSTRY						BUS		
USA	UNITED STATES	USA							
USA	UNITED STATES	USA							
USAELI	UNITED STATES	USA					ELI		
USAELI	UNITED STATES	USA					ELI		
tamLEG	TAMIL			tam			LEG		
NLD	THE NETHERLAND	NLD							
NLD	THE NETHERLAND	NLD							
COP	POLICE CHIEF						COP		
									
									
									
									
									
									
									
AUS	AUSTRALIAN	AUS							
AUSCVL	AUSTRALIAN	AUS					CVL		
BUS	INVESTOR						BUS		
BUS	INVESTOR						BUS		
CAN	CANADIAN	CAN							
COP	TROOPER						COP		
GOV	PRESIDENT						GOV		
GOV	GOVERNMENT						GOV		
MED	JOURNALIST						MED		
HLH	HOSPITAL						HLH		
									
COP	PRISON						COP		
IGOWSTNAT	NATO	WST	NAT				IGO		
USA	AUSTIN	USA							
									
AUS	AUSTRALIA	AUS							
GBR	UNITED KINGDOM	GBR							
GBR	UNITED KINGDOM	GBR							
GBR	UNITED KINGDOM	GBR							
GOV	GOVERNMENT						GOV		
USA	THE US	USA							
									
									
									
GOV	REGULATOR						GOV		
MED	MEDIA						MED		
MNCMYS	PETRONAS	MYS					MNC		
USA	UNITED STATES	USA							
CHN	CHINA	CHN							
CVL	CITIZEN						CVL		
CVL	CITIZEN						CVL		
CVL	CITIZEN						CVL		
